gate,idx,text,kind,gold,pred,hit,sim,correct,single_correct,false_hit_cause,source_gold,latency_ms,prompt_tokens,output_tokens
off,0,嘿,para1,small_talk,small_talk,False,-1.0,True,True,,,91.07,163,4
off,1,请为我撰写一个摘要,para2,summarize,summarize,False,0.3628,True,True,,,97.14,168,4
off,2,晚上好。,para1,small_talk,small_talk,False,0.5098,True,True,,,96.0,165,4
off,3,你好，我是你的助手，随时为你服务。,para1,small_talk,small_talk,False,0.4886,True,True,,,84.54,172,4
off,4,简要概括市场报告,para1,summarize,summarize,False,0.6921,True,True,,,96.16,167,4
off,5,请简要介绍这个项目,para2,knowledge_retrieval,summarize,False,0.6236,False,False,,,86.87,168,4
off,6,请帮我查询多Agent架构的原理。,para2,knowledge_retrieval,knowledge_retrieval,False,0.4004,True,True,,,105.1,171,5
off,7,what is a vector database?,base,knowledge_retrieval,knowledge_retrieval,False,0.4153,True,True,,,102.55,168,5
off,8,describe the process of prompting in the chain of thought,para2,knowledge_retrieval,summarize,False,0.5006,False,False,,,167.23,172,4
off,9,早上好,base,small_talk,small_talk,False,0.8825,True,True,,,124.38,164,4
off,10,How does the system implement authentication?,para2,knowledge_retrieval,knowledge_retrieval,False,0.4641,True,True,,,119.89,169,5
off,11,How does the system implement authentication?,para1,knowledge_retrieval,knowledge_retrieval,True,0.9998,True,True,,knowledge_retrieval,75.78,0,0
off,12,帮我查一下prompt里temperature参数,base,knowledge_retrieval,knowledge_retrieval,False,0.5696,True,True,,,110.28,169,5
off,13,嘿，你好,para1,small_talk,small_talk,False,0.6654,True,True,,,79.02,165,4
off,14,整理并归纳我的需求,para1,summarize,summarize,False,0.5894,True,True,,,104.84,167,4
off,15,把这份报告浓缩成一段话,base,summarize,summarize,False,0.78,True,True,,,88.9,169,4
off,16,有没有相关的内容可供参考？,para2,knowledge_retrieval,knowledge_retrieval,False,0.5121,True,True,,,124.15,168,5
off,17,如何配置FastAPI服务？,para1,knowledge_retrieval,knowledge_retrieval,False,0.3947,True,True,,,248.52,168,5
