ok,error,ttft_ms,total_ms,output_tokens,decode_tps,prompt_tokens,text,concurrency
True,,31.59,588.91,64,114.8,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,1
True,,28.24,503.46,64,134.7,21,**RAG** 是 **Retrieval-Augmented Generati,1
True,,30.27,442.58,64,155.0,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,1
True,,24.7,429.92,64,158.0,24,当然可以！**多Agent架构（Multi-Agent Architecture,1
True,,24.28,430.59,64,157.5,22,**LoRA微调（LoRA: Low-Rank Adaptation）** 是一,1
True,,24.76,436.46,64,155.5,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,1
True,,30.3,439.44,64,156.5,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",1
True,,25.05,439.19,64,154.5,23,当然可以！以下是一些关于**机器学习**的高质量资料和资源，涵盖从基础到高级的内,1
True,,24.57,437.55,64,154.9,21,"当然可以！您想检索哪种技术文档呢？比如：

- **编程语言文档**（如 Pyt",1
True,,43.76,455.99,64,155.2,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,1
True,,21.32,429.48,64,156.7,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,1
True,,36.54,446.03,64,156.5,22,A **vector database** is a type of datab,1
True,,28.67,443.03,64,154.5,24,Authentication in a system refers to the,1
True,,24.24,437.2,64,155.0,25,Redis and Memcached are both **in-memory,1
True,,32.48,448.33,64,153.3,21,Certainly! The **chain of thought prompt,1
True,,26.63,433.49,64,157.2,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,1
True,,26.75,441.29,64,154.2,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,1
True,,32.63,445.32,64,154.9,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,1
True,,24.3,435.22,64,156.3,22,自然语言处理（Natural Language Processing，简称NLP,1
True,,24.42,437.49,64,154.9,21,**大语言模型（Large Language Models，LLMs）** 是一,1
True,,24.97,432.79,64,156.9,22,你提到的“那个东西”指的是什么呢？如果你能提供更多背景信息，比如它是什么、在哪里,1
True,,25.74,434.84,64,156.5,21,您提到的“这个功能怎么用？”看起来是想了解某个特定功能的使用方法。不过，您没有具,1
True,,25.38,390.6,57,156.1,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,1
True,,22.56,432.09,64,156.4,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",1
True,,36.4,508.56,64,137.9,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,2
True,,36.43,508.73,64,137.9,21,**RAG** 是 **Retrieval-Augmented Generati,2
True,,34.67,495.46,64,139.0,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,2
True,,33.81,495.1,64,138.9,24,当然可以！**多Agent架构（Multi-Agent Architecture,2
True,,33.45,497.27,64,137.9,22,**LoRA（Low-Rank Adaptation）微调**是一种高效的模型微,2
True,,33.4,497.79,64,138.0,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,2
True,,37.65,494.77,64,140.2,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",2
True,,36.93,494.33,64,140.3,23,当然可以！以下是一些关于**机器学习**的资料推荐，涵盖从基础到高级的内容，适合,2
True,,49.08,515.08,64,137.5,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,2
True,,50.18,516.03,64,137.6,21,当然可以！您提到“检索相关的技术文档”，但您没有具体说明是哪方面的技术文档，比如,2
True,,29.67,487.25,64,139.8,22,A **vector database** is a type of datab,2
True,,29.67,488.49,64,139.7,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,2
True,,34.47,497.71,64,138.3,25,Redis and Memcached are both **in-memory,2
True,,35.1,498.78,64,138.2,24,Authentication in a system refers to the,2
True,,37.27,498.28,64,138.8,21,Certainly! The **chain of thought prompt,2
True,,37.42,499.18,64,138.9,22,你问的“这个技术方案是什么意思？”看起来你可能是在问某个具体的技术方案，但问题中,2
True,,35.11,491.17,64,139.9,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,2
True,,34.09,491.09,64,140.0,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,2
True,,33.64,490.97,64,139.9,21,**大语言模型（Large Language Models，LLMs）** 是一,2
True,,34.33,492.6,64,139.8,22,自然语言处理（Natural Language Processing，简称NLP,2
True,,37.15,501.53,64,137.8,21,您提到的“这个功能怎么用？”看起来是想了解某个具体功能的使用方法。不过，您没有说,2
True,,37.6,502.44,64,137.7,22,你提到的“那个东西”指的是什么呢？如果你能具体说明一下你指的是什么（比如某个设备,2
True,,31.66,446.72,57,137.6,28,我无法回忆起你上次看的文章内容，因为我的训练数据截止到2023年10月，无法存储,2
True,,31.08,497.29,64,137.3,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",2
True,,41.69,640.03,64,107.0,21,**RAG** 是 **Retrieval-Augmented Generati,4
True,,41.66,640.83,64,107.0,24,当然可以！**多Agent架构（Multi-Agent Architecture,4
True,,42.99,641.71,64,107.1,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,4
True,,42.74,642.82,64,107.1,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,4
True,,49.23,633.52,64,109.6,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,4
True,,48.13,632.28,64,109.6,23,当然可以！以下是一些关于**机器学习**的资料推荐，涵盖从基础到高级的内容，适合,4
True,,51.08,636.45,64,109.7,22,**LoRA（Low-Rank Adaptation）微调**是一种高效的模型微,4
True,,49.6,634.8,64,109.7,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",4
