threshold,idx,text,kind,base_id,gold,pred,llm_pred,hit,sim,correct,llm_correct,false_hit_cause,source_gold,latency_ms,embed_ms,prompt_tokens,output_tokens,raw
0.8,0,嘿,para1,51,small_talk,small_talk,small_talk,False,-1.0,True,True,,,112.94,52.14,163,4,small_talk
0.8,1,请为我撰写一个摘要,para2,37,summarize,summarize,summarize,False,0.3628,True,True,,,104.3,42.83,168,4,summarize
0.8,2,晚上好。,para1,65,small_talk,small_talk,small_talk,False,0.5098,True,True,,,92.69,51.72,165,4,small_talk
0.8,3,你好，我是你的助手，随时为你服务。,para1,50,small_talk,small_talk,small_talk,False,0.4886,True,True,,,103.83,42.15,172,4,small_talk
0.8,4,简要概括市场报告,para1,44,summarize,summarize,summarize,False,0.6921,True,True,,,111.48,51.18,167,4,summarize
0.8,5,请简要介绍这个项目,para2,28,knowledge_retrieval,summarize,summarize,False,0.6236,False,False,,,112.86,67.32,168,4,summarize
0.8,6,请帮我查询多Agent架构的原理。,para2,3,knowledge_retrieval,knowledge_retrieval,knowledge_retrieval,False,0.4004,True,True,,,120.53,57.41,171,5,knowledge_retrieval
0.8,7,what is a vector database?,base,11,knowledge_retrieval,knowledge_retrieval,knowledge_retrieval,False,0.4153,True,True,,,125.92,63.09,168,5,knowledge_retrieval
0.8,8,describe the process of prompting in the chain of thought,para2,14,knowledge_retrieval,summarize,summarize,False,0.5006,False,False,,,110.59,55.7,172,4,summarize
0.8,9,早上好,base,54,small_talk,small_talk,small_talk,True,0.8825,True,True,,small_talk,39.7,38.48,0,0,[cache] 晚上好。
0.8,10,How does the system implement authentication?,para2,12,knowledge_retrieval,knowledge_retrieval,knowledge_retrieval,False,0.4641,True,True,,,119.0,70.73,169,5,knowledge_retrieval
0.8,11,How does the system implement authentication?,para1,12,knowledge_retrieval,knowledge_retrieval,knowledge_retrieval,True,0.9998,True,True,,knowledge_retrieval,52.98,51.83,0,0,[cache] How does the system implement 
0.8,12,帮我查一下prompt里temperature参数,base,77,knowledge_retrieval,knowledge_retrieval,knowledge_retrieval,False,0.5696,True,True,,,130.58,61.42,169,5,knowledge_retrieval
0.8,13,嘿，你好,para1,94,small_talk,small_talk,small_talk,False,0.6654,True,True,,,103.43,63.03,165,4,small_talk
0.8,14,整理并归纳我的需求,para1,90,summarize,summarize,summarize,False,0.5894,True,True,,,118.8,65.36,167,4,summarize
0.8,15,把这份报告浓缩成一段话,base,89,summarize,summarize,summarize,False,0.78,True,True,,,98.14,38.45,169,4,summarize
0.8,16,有没有相关的内容可供参考？,para2,23,knowledge_retrieval,knowledge_retrieval,knowledge_retrieval,False,0.5121,True,True,,,102.65,38.9,168,5,knowledge_retrieval
0.8,17,如何配置FastAPI服务？,para1,6,knowledge_retrieval,knowledge_retrieval,knowledge_retrieval,False,0.3947,True,True,,,94.16,51.21,168,5,knowledge_retrieval
