ok,error,ttft_ms,total_ms,output_tokens,decode_tps,prompt_tokens,text,concurrency
True,,26.69,402.88,64,169.9,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,1
True,,25.71,423.1,64,161.0,21,**RAG** 是 **Retrieval-Augmented Generati,1
True,,22.09,429.26,64,157.2,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,1
True,,25.43,407.55,64,167.3,24,当然可以！**多Agent架构（Multi-Agent Architecture,1
True,,33.45,404.42,64,171.5,22,**LoRA微调（LoRA: Low-Rank Adaptation）** 是一,1
True,,30.21,411.98,64,167.6,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,1
True,,23.2,396.9,64,171.2,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",1
True,,33.16,409.01,64,170.4,23,当然可以！以下是一些关于**机器学习**的高质量资料和资源，涵盖从基础到高级的内,1
True,,38.56,419.02,64,168.1,21,当然可以！您提到“检索相关的技术文档”，但您没有具体说明是哪方面的技术文档，比如,1
True,,30.38,414.97,64,166.3,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,1
True,,41.07,440.77,64,159.7,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,1
True,,27.34,443.82,64,153.9,22,A **vector database** is a type of datab,1
True,,29.07,421.7,64,162.9,24,Authentication in a system refers to the,1
True,,25.67,416.26,64,163.9,25,Redis and Memcached are both **in-memory,1
True,,27.4,410.13,64,167.0,21,Certainly! The **chain of thought prompt,1
True,,23.78,436.59,64,155.0,22,你问的“这个技术方案是什么意思？”这个问题，看起来你可能是在问某个具体的技术方案,1
True,,33.28,438.07,64,155.9,21,截至2025年10月，以下是最新AI领域的新闻和趋势，涵盖技术进展、行业动态、政,1
True,,28.24,446.42,64,154.2,22,当然可以！嵌入式系统（Embedded System）是一种专门设计用于实时控制,1
True,,43.53,438.44,64,160.9,22,自然语言处理（Natural Language Processing，简称NLP,1
True,,26.51,433.05,64,157.4,21,**大语言模型（Large Language Models，LLMs）** 是一,1
True,,26.4,432.02,64,157.7,22,你提到的“那个东西”指的是什么呢？如果你能提供更多背景信息，比如它是什么、在哪里,1
True,,34.03,443.53,64,156.2,21,您提到的“这个功能怎么用？”看起来是想了解某个特定功能的使用方法。不过，您没有具,1
True,,25.79,426.38,63,157.4,28,我无法回忆起你上次看过的具体文章内容，因为我的训练数据截止到2023年10月，无,1
True,,25.54,422.75,64,161.0,23,"当然有！关于“**这个话题**”的资料，我需要先明确你具体指的是什么。比如：

",1
True,,26.75,412.07,64,166.1,21,**向量数据库**（Vector Database）是一种用于存储、查询和管理*,2
True,,429.03,810.38,64,167.6,21,**RAG** 是 **Retrieval-Augmented Generati,2
True,,424.17,797.46,64,171.4,22,Redis 和 MySQL 是两种不同的数据库系统，它们在设计目标、功能、性能、,2
True,,413.27,814.06,64,159.8,24,当然可以！**多Agent架构（Multi-Agent Architecture,2
True,,432.21,837.7,64,158.0,22,**LoRA微调（LoRA: Low-Rank Adaptation）** 是一,2
True,,437.62,840.66,64,158.6,22,Docker 和 Kubernetes 是两个在容器化和编排领域非常重要的工具，,2
True,,448.03,826.91,64,163.0,22,"部署一个 **FastAPI** 服务通常包括以下几个步骤：

---

## ",2
True,,426.87,801.3,64,170.4,23,当然可以！以下是一些关于**机器学习**的高质量资料和资源，涵盖从基础到高级的内,2
True,,411.99,817.23,64,158.0,21,"当然可以！您想检索哪种技术文档呢？比如：

- **编程语言文档**（如 Pyt",2
True,,442.41,839.09,64,161.4,20,**Transformer架构**是一种在自然语言处理（NLP）领域广泛应用的深,2
True,,440.64,841.19,64,156.1,21,当然可以！**Prompt Engineering**（提示工程）是人工智能领域,2
