model,rep,item_id,gold,pred,correct,hard,raw_output,wall_ms,ttft_ms,total_ms,decode_tps,prefill_tps,prompt_tokens,output_tokens,footprint_gb,vram_gb,gpu_ratio,num_ctx,error
qwen3:1.7b-q8_0,0,0,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,55.12,9.97,53.47,134.04,17142.86,171,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,1,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,64.84,16.52,63.43,120.25,10772.21,178,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,2,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,85.66,15.02,62.24,120.57,11316.74,170,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,3,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,77.46,15.08,63.85,121.59,11537.7,174,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,4,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,74.96,14.21,62.05,119.71,12108.41,172,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,5,summarize,summarize,True,False,summarize,53.57,15.49,52.04,129.27,10913.79,169,4,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,6,summarize,summarize,True,False,summarize,54.36,14.54,52.79,124.94,11827.81,172,4,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,7,summarize,summarize,True,False,summarize,70.92,15.95,55.26,121.01,10721.0,171,4,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,8,summarize,knowledge_retrieval,False,False,knowledge_retrieval,87.21,15.7,64.48,117.23,10697.91,168,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,9,small_talk,small_talk,True,False,small_talk,64.52,14.25,51.31,128.77,11652.39,166,4,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,10,small_talk,small_talk,True,False,small_talk,89.45,50.89,88.49,126.75,3222.51,164,4,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,11,small_talk,small_talk,True,False,small_talk,54.63,14.35,53.42,124.64,11569.56,166,4,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,12,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,65.33,15.97,63.76,120.81,10581.02,169,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,13,knowledge_retrieval,small_talk,False,True,small_talk,70.95,31.87,69.81,124.85,5177.28,165,4,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,14,small_talk,small_talk,True,True,small_talk,70.37,31.62,69.23,127.96,5154.64,163,4,2.242,2.242,100.0,4096,
