config,workload,idx,predicted_n,prompt_ms,decode_tps,wall_ms,draft_tokens,accepted_tokens,accept_rate,verify_rounds,output_sha,output_chars
base,A-结构化抽取,0,160,97.75,149.1,1167.8,0.0,0.0,0.0,0.0,f03bae85275146cb,309
base,A-结构化抽取,1,160,16.75,154.1,1076.1,0.0,0.0,0.0,0.0,4ad9da15f4086f25,247
base,A-结构化抽取,2,160,15.67,155.1,1052.9,0.0,0.0,0.0,0.0,26d3302c155f81ac,309
base,A-结构化抽取,3,160,16.25,154.3,1072.6,0.0,0.0,0.0,0.0,1e595effe47617c1,248
base,A-结构化抽取,4,160,16.62,154.6,1070.6,0.0,0.0,0.0,0.0,e7d3c6c799ef00b2,338
base,A-结构化抽取,5,160,15.7,153.1,1081.1,0.0,0.0,0.0,0.0,2cc1e537ef55a6d8,241
base,B-自由摘要,0,200,19.26,155.5,1324.7,0.0,0.0,0.0,0.0,38a197f4a3c16d45,296
base,B-自由摘要,1,200,18.14,152.4,1354.3,0.0,0.0,0.0,0.0,a5c972a21e385186,335
base,B-自由摘要,2,200,18.47,152.6,1352.4,0.0,0.0,0.0,0.0,609fb9d0187ce840,312
base,B-自由摘要,3,200,17.97,150.5,1372.6,0.0,0.0,0.0,0.0,8822466dfd6a9923,302
base,B-自由摘要,4,200,16.25,152.9,1333.9,0.0,0.0,0.0,0.0,e0dd7e01b2de38c6,369
base,B-自由摘要,5,200,16.64,152.4,1353.6,0.0,0.0,0.0,0.0,dded79a424217709,305
base2,A-结构化抽取,0,160,99.52,149.1,1183.4,0.0,0.0,0.0,0.0,f03bae85275146cb,309
base2,A-结构化抽取,1,160,16.28,155.2,1067.0,0.0,0.0,0.0,0.0,4ad9da15f4086f25,247
base2,A-结构化抽取,2,160,17.37,154.5,1058.8,0.0,0.0,0.0,0.0,26d3302c155f81ac,309
base2,A-结构化抽取,3,160,16.8,155.6,1052.5,0.0,0.0,0.0,0.0,1e595effe47617c1,248
base2,A-结构化抽取,4,160,17.02,157.5,1055.0,0.0,0.0,0.0,0.0,e7d3c6c799ef00b2,338
base2,A-结构化抽取,5,160,15.82,155.4,1051.1,0.0,0.0,0.0,0.0,2cc1e537ef55a6d8,241
base2,B-自由摘要,0,200,18.42,153.2,1344.9,0.0,0.0,0.0,0.0,38a197f4a3c16d45,296
base2,B-自由摘要,1,200,17.38,151.9,1357.6,0.0,0.0,0.0,0.0,a5c972a21e385186,335
base2,B-自由摘要,2,200,17.34,150.3,1372.2,0.0,0.0,0.0,0.0,609fb9d0187ce840,312
base2,B-自由摘要,3,200,17.85,151.5,1361.0,0.0,0.0,0.0,0.0,8822466dfd6a9923,302
base2,B-自由摘要,4,200,16.56,152.5,1352.0,0.0,0.0,0.0,0.0,e0dd7e01b2de38c6,369
base2,B-自由摘要,5,200,16.2,153.1,1349.2,0.0,0.0,0.0,0.0,dded79a424217709,305
draft-k3,A-结构化抽取,0,160,90.05,105.9,1610.1,158.0,106.0,67.1,53.0,f03bae85275146cb,309
draft-k3,A-结构化抽取,1,160,24.48,108.9,1508.5,150.0,109.0,72.7,50.0,af7d9fd3c00c242f,247
draft-k3,A-结构化抽取,2,160,26.02,98.6,1672.4,165.0,103.0,62.4,55.0,d3839d4d04902afb,288
draft-k3,A-结构化抽取,3,160,22.65,96.3,1695.6,168.0,103.0,61.3,56.0,512fc1090ee07698,318
draft-k3,A-结构化抽取,4,160,22.52,116.3,1418.3,139.0,112.0,80.6,47.0,537a595b3a65d399,331
draft-k3,A-结构化抽取,5,160,23.06,123.4,1351.6,131.0,115.0,87.8,44.0,2cc1e537ef55a6d8,241
draft-k3,B-自由摘要,0,200,32.13,93.7,2194.9,214.0,127.0,59.3,72.0,9a7c39c412a68d3d,308
draft-k3,B-自由摘要,1,200,29.04,84.5,2428.6,244.0,117.0,48.0,82.0,59776c8aa1de1c63,329
draft-k3,B-自由摘要,2,200,23.7,92.3,2222.9,220.0,124.0,56.4,74.0,8f5c5f825fecea1f,304
draft-k3,B-自由摘要,3,200,28.57,106.6,1926.0,189.0,135.0,71.4,63.0,8822466dfd6a9923,302
draft-k3,B-自由摘要,4,200,24.49,109.0,1878.0,186.0,136.0,73.1,62.0,a7aac2bfd0c14de8,367
draft-k3,B-自由摘要,5,200,25.36,116.8,1760.6,175.0,140.0,80.0,59.0,d50dac663485568f,298
draft-k8,A-结构化抽取,0,160,109.59,108.9,1596.5,228.0,130.0,57.0,29.0,76eaa8bc9379e410,325
draft-k8,A-结构化抽取,1,160,26.75,109.5,1502.8,231.0,130.0,56.3,29.0,af7d9fd3c00c242f,247
draft-k8,A-结构化抽取,2,160,23.6,80.4,2025.1,322.0,118.0,36.6,41.0,f9cfd2cc368581f1,313
draft-k8,A-结构化抽取,3,160,22.05,116.2,1412.9,217.0,131.0,60.4,28.0,1e595effe47617c1,248
draft-k8,A-结构化抽取,4,160,26.22,121.1,1361.3,216.0,132.0,61.1,27.0,537a595b3a65d399,331
draft-k8,A-结构化抽取,5,160,25.76,86.0,1897.4,306.0,120.0,39.2,39.0,36c224bec3231486,336
draft-k8,B-自由摘要,0,200,30.16,80.1,2553.0,409.0,147.0,35.9,52.0,f13f3d0796d9bf21,313
draft-k8,B-自由摘要,1,200,24.03,65.7,3093.6,507.0,135.0,26.6,64.0,49ce339c5683bcd4,339
