model,rep,item_id,gold,pred,correct,hard,raw_output,wall_ms,ttft_ms,total_ms,decode_tps,prefill_tps,prompt_tokens,output_tokens,footprint_gb,vram_gb,gpu_ratio,num_ctx,error
qwen3:1.7b-fp16,0,0,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,140.01,25.02,138.66,46.32,6674.39,167,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,1,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,163.13,30.73,155.83,54.72,5433.54,167,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,2,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,109.91,28.22,108.94,68.14,5953.01,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,3,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,120.23,22.24,105.8,68.17,7642.85,170,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,4,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,104.77,21.42,103.73,68.14,7844.24,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,5,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,123.93,21.54,101.12,68.5,7800.17,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,6,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,102.69,22.86,101.62,67.92,7349.4,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,7,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,118.55,22.14,117.56,74.9,7631.86,169,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,8,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,113.67,18.78,95.06,82.56,8891.02,167,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,9,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,99.59,18.29,86.13,81.24,9077.49,166,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,10,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,86.23,18.6,85.56,81.22,8977.53,167,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,11,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,99.48,18.87,86.02,82.36,8903.02,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,12,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,106.36,18.46,84.22,82.61,9208.6,170,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,13,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,93.25,18.98,92.02,81.66,9011.38,171,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,14,knowledge_retrieval,,False,False,chain_of_thought,114.83,18.57,89.29,80.65,8993.97,167,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,15,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,113.47,18.44,93.08,80.56,9112.61,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,16,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,87.91,18.68,86.77,80.33,8942.44,167,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,17,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,95.2,20.77,93.84,82.51,8089.76,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,18,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,101.53,18.41,85.88,80.78,9123.0,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,19,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,105.6,19.1,84.15,82.77,8743.0,167,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,20,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,111.17,18.79,85.53,80.36,8941.4,168,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,21,knowledge_retrieval,small_talk,False,True,small_talk,92.34,18.75,70.62,86.55,8909.04,167,4,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,22,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,108.32,18.83,86.5,81.78,9239.59,174,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,23,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,104.78,19.29,103.75,82.24,8762.83,169,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,24,knowledge_retrieval,small_talk,False,True,small_talk,96.6,19.03,70.67,85.4,8878.85,169,4,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,25,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,85.52,18.44,84.85,81.15,9165.85,169,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,26,knowledge_retrieval,small_talk,False,True,small_talk,72.27,18.21,70.97,85.41,9170.28,167,4,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,27,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,107.29,20.73,88.02,81.81,8198.7,170,5,3.693,3.693,100.0,4096,
qwen3:1.7b-fp16,0,28,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,104.96,18.47,85.69,81.42,8989.01,166,5,3.693,3.693,100.0,4096,
