model,rep,item_id,gold,pred,correct,hard,raw_output,wall_ms,ttft_ms,total_ms,decode_tps,prefill_tps,prompt_tokens,output_tokens,footprint_gb,vram_gb,gpu_ratio,num_ctx,error
qwen3:1.7b,0,0,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,52.01,7.98,49.9,162.04,20924.7,167,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,1,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,57.43,15.49,56.12,156.87,10783.93,167,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,2,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,55.17,13.42,53.34,156.87,12519.56,168,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,3,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,54.73,13.51,52.24,156.82,12581.41,170,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,4,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,53.13,12.31,51.51,159.39,13651.88,168,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,5,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,53.63,12.53,52.12,155.49,13407.82,168,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,6,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,75.99,14.43,53.81,156.27,11644.03,168,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,7,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,53.78,13.29,52.19,157.28,12717.28,169,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,8,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,70.52,13.67,55.05,158.29,12212.96,167,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,9,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,53.18,12.92,50.73,157.76,12844.32,166,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,10,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,67.98,13.77,51.82,160.92,12125.17,167,5,1.586,1.586,100.0,4096,
qwen3:1.7b,0,11,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,54.47,13.95,52.91,159.7,12040.42,168,5,1.586,1.586,100.0,4096,
qwen3:1.7b-q8_0,0,0,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,84.22,12.34,68.92,106.21,13532.13,167,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,1,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,98.28,18.78,75.21,102.95,8892.44,167,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,2,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,69.26,16.22,67.73,110.27,10360.14,168,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,3,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,69.86,15.79,68.12,110.08,10762.9,170,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,4,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,82.65,15.82,66.87,112.05,10621.48,168,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,5,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,92.27,15.51,66.78,111.2,10830.32,168,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,6,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,71.93,17.66,70.74,108.96,9511.95,168,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,7,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,71.07,16.94,69.38,111.15,9978.74,169,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,8,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,85.23,20.04,83.3,103.96,8334.58,167,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,9,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,71.72,16.08,70.22,110.12,10324.03,166,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,10,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,71.96,15.66,70.12,111.28,10665.47,167,5,2.242,2.242,100.0,4096,
qwen3:1.7b-q8_0,0,11,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,74.8,16.94,72.94,109.64,9918.53,168,5,2.242,2.242,100.0,4096,
