model,rep,item_id,gold,pred,correct,hard,raw_output,wall_ms,ttft_ms,total_ms,decode_tps,prefill_tps,prompt_tokens,output_tokens,footprint_gb,vram_gb,gpu_ratio,num_ctx,error
qwen3:0.6b,0,0,knowledge_retrieval,small_talk,False,False,small_talk,52.05,4.26,29.18,327.31,39211.08,167,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,1,knowledge_retrieval,small_talk,False,False,small_talk,51.51,12.25,35.06,240.54,13638.22,167,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,2,knowledge_retrieval,small_talk,False,False,small_talk,36.02,11.92,34.46,242.72,14092.78,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,3,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,39.24,11.39,38.09,249.09,14926.68,170,5,0.867,0.867,100.0,4096,
qwen3:0.6b,0,4,knowledge_retrieval,small_talk,False,False,small_talk,34.06,10.86,33.05,239.45,15476.74,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,5,knowledge_retrieval,summarize,False,False,summarize,36.4,11.44,35.56,237.02,14682.75,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,6,knowledge_retrieval,summarize,False,False,summarize,52.88,10.64,34.06,240.38,15782.06,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,7,knowledge_retrieval,summarize,False,False,summarize,35.88,10.79,34.79,248.23,15668.46,169,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,8,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,36.58,9.95,35.55,260.01,16782.23,167,5,0.867,0.867,100.0,4096,
qwen3:0.6b,0,9,knowledge_retrieval,small_talk,False,False,small_talk,49.5,10.12,32.68,249.8,16408.03,166,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,10,knowledge_retrieval,small_talk,False,False,small_talk,47.67,10.59,33.66,246.21,15774.06,167,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,11,knowledge_retrieval,small_talk,False,False,small_talk,35.48,10.69,34.49,234.77,15709.74,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,12,knowledge_retrieval,small_talk,False,False,small_talk,33.97,11.79,32.95,265.01,14417.78,170,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,13,knowledge_retrieval,small_talk,False,False,small_talk,32.7,10.18,31.64,263.38,16795.99,171,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,14,knowledge_retrieval,,False,False,no_chain_of_thought_prompting,47.16,10.9,46.26,279.24,15322.51,167,8,0.867,0.867,100.0,4096,
qwen3:0.6b,0,15,knowledge_retrieval,small_talk,False,False,small_talk,31.5,9.79,30.26,266.26,17163.87,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,16,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,34.87,9.83,33.86,289.42,16985.35,167,5,0.867,0.867,100.0,4096,
qwen3:0.6b,0,17,knowledge_retrieval,small_talk,False,False,small_talk,32.37,10.08,31.17,272.02,16661.71,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,18,knowledge_retrieval,summarize,False,False,summarize,40.57,13.89,39.49,272.54,12097.65,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,19,knowledge_retrieval,small_talk,False,False,small_talk,33.27,10.03,32.23,259.24,16648.39,167,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,20,knowledge_retrieval,small_talk,False,True,small_talk,34.39,11.23,32.82,261.85,14958.6,168,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,21,knowledge_retrieval,small_talk,False,True,small_talk,33.44,10.99,32.53,285.18,15190.1,167,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,22,knowledge_retrieval,small_talk,False,True,small_talk,33.34,11.54,32.07,270.0,15081.91,174,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,23,knowledge_retrieval,knowledge_retrieval,True,True,knowledge_retrieval,54.18,10.05,34.58,286.29,16812.57,169,5,0.867,0.867,100.0,4096,
qwen3:0.6b,0,24,knowledge_retrieval,,False,True,请继续提问，我将尽力为您详细解答。,59.66,9.59,57.31,280.1,17628.04,169,12,0.867,0.867,100.0,4096,
qwen3:0.6b,0,25,knowledge_retrieval,small_talk,False,True,small_talk,43.92,9.58,31.19,273.95,17635.4,169,4,0.867,0.867,100.0,4096,
qwen3:0.6b,0,26,knowledge_retrieval,small_talk,False,True,small_talk,47.53,10.81,33.3,272.26,15454.38,167,4,0.867,0.867,100.0,4096,
