model,rep,item_id,gold,pred,correct,hard,raw_output,wall_ms,ttft_ms,total_ms,decode_tps,prefill_tps,prompt_tokens,output_tokens,footprint_gb,vram_gb,gpu_ratio,num_ctx,error
qwen3:1.7b-q8_0,0,0,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,61.01,10.62,59.25,123.9,15723.57,167,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,1,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,70.98,16.35,69.43,115.06,10213.44,167,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,2,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,71.88,15.0,70.23,118.55,11200.75,168,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,3,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,63.79,14.72,62.26,121.27,11548.91,170,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,4,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,67.35,15.25,65.51,115.07,11017.84,168,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,5,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,68.07,14.69,66.67,118.43,11437.13,168,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,6,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,69.13,15.17,67.48,112.57,11073.03,168,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,7,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,70.53,14.89,68.48,114.59,11347.61,169,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,8,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,67.78,14.86,66.0,119.54,11239.74,167,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,9,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,71.52,16.06,69.61,113.95,10336.24,166,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,10,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,71.72,14.31,68.68,117.7,11670.16,167,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,11,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,69.38,15.08,67.72,114.35,11139.11,168,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,12,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,70.42,15.59,68.14,113.92,10901.63,170,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,13,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,84.53,15.31,82.76,108.88,11171.36,171,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,14,knowledge_retrieval,,False,False,chain_of_thought,72.12,15.24,70.25,112.01,10957.29,167,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,15,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,82.3,16.2,80.9,93.39,10370.37,168,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,16,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,70.81,15.83,69.43,111.26,10550.92,167,5,2.022,2.022,100.0,2048,
qwen3:1.7b-q8_0,0,17,knowledge_retrieval,knowledge_retrieval,True,False,knowledge_retrieval,72.88,16.16,70.97,111.72,10397.97,168,5,2.022,2.022,100.0,2048,
